,id,name,link,regular_price,promo_price,brand
164,654453,"Колбаса Охотный Ряд Римская сырокопченая, ~1кг",https://online.metro-cc.ru/products/rimskaya-ohotnyj-ryad,1 299,,ОХОТНЫЙ РЯД
165,524541,"Колбаса Велес Брауншвейгская сырокопченая нарезка, 150г",https://online.metro-cc.ru/products/veles-braunshvejgskaya-syrokopchenaya-150-g,299,,ВЕЛЕС
166,135142,"Колбаса Черкизово Сервелетти сырокопченая, ~500г",https://online.metro-cc.ru/products/05kg-kolbasa-cherkizovo-serveletti-sk-vu,1 269,,ЧЕРКИЗОВО
167,217906,"Колбаса Ишимский Мк докторская вареная ГОСТ, 400г",https://online.metro-cc.ru/products/400g-kolbasa-ishimskiy-doktorskaya-varenaya-gost,166,159,ИШИМСКИЙ МК
168,593227,"Ветчина Ясная горка из мяса птицы вареная, 500г",https://online.metro-cc.ru/products/vetchina-gorka-iz-pticy-varenaya-500g,249,211,ЯСНАЯ ГОРКА
169,219092,"Колбаски Мясницкий ряд Kabanos халапеньо сырокопченые, 60г",https://online.metro-cc.ru/products/60g-kolbaski-myasnitskiy-ryad-kabanos-halapeno-sk,106,89.90,МЯСНИЦКИЙ РЯД
170,141979,"METRO Chef Колбаса фуэт с белой плесенью сыровяленая полусухая, 125г",https://online.metro-cc.ru/products/125g-kolbasa-metro-chef-fuet-s-bel-ples-sv-polusuh,309,,METRO CHEF
171,92625,"Колбаса Омский бекон Традиционная полукопченая, 500г",https://online.metro-cc.ru/products/kolbasa-tradicionnaya-omskij-bekon-polukopchenaya-500g,193,,ОМСКИЙ БЕКОН
172,221183,"Колбаса Delikaiser сервелат европейский варено-копченый, 400г",https://online.metro-cc.ru/products/kolbasa-delikaiser-servelat-evropeyskiy-vareno-kopchenyy-400g,289,,DELIKAISER
173,128538,"Колбаса Велком Брауншвейгская сырокопченая, 165г",https://online.metro-cc.ru/products/165g-velkom-braunveg-s-k-p-s-v-u,309,,ВЕЛКОМ
174,127209,"Колбаса Ялуторовский МК Докторская вареная ГОСТ, 400г",https://online.metro-cc.ru/products/400g-yalutorovskij-mk-var-doktors-gost,237,159.01,ЯЛУТОРОВСКИЙ МК
175,231959,"Колбаса молочная Черкизово по-черкизовски вареная, ~1кг",https://online.metro-cc.ru/products/kolbasa-molochnaya-cherkizovo-po-cherkizovski-varenaya-1kg,509,,ЧЕРКИЗОВО
176,635731,"Колбаса Охотный Ряд Столичная варено-копченая, ~550г",https://online.metro-cc.ru/products/ohotnyj-ryad-stolichnaya-vareno,1 029,759,ОХОТНЫЙ РЯД
177,587195,"Ветчина Дымов из окорока, 400г",https://online.metro-cc.ru/products/dymov-s-okorokom-400-g,239,,ДЫМОВ
178,217900,"Колбаса Ишимский Мк сервелат зернистый варено-копченая, 350г",https://online.metro-cc.ru/products/350g-kolbasa-servelat-ishimskiy-zernistyy-vk-vu,175,,ИШИМСКИЙ МК
179,511042,"Колбаса ЯМК Салями Деревенская полукопченая, 350г",https://online.metro-cc.ru/products/yalutorovskij-mk-salyami-derevenskaya-polukopchenaya-350g,269.01,228,ЯМК
180,511043,"Колбаса ЯМК Венская полукопченая, 400г",https://online.metro-cc.ru/products/yalutorovskij-mk-venskaya-polukopchenaya-400g,289,,ЯМК
181,588257,"Колбаски Велес Детские вареные, ~1кг",https://online.metro-cc.ru/products/kolbaskiampnbspvelesampnbspdetskieampnbspvarenye-1kg,729,569,ВЕЛЕС
182,128572,"Колбаса Дымов Сальчичон сырокопченая, 260г",https://online.metro-cc.ru/products/dymov-salchichon-syrokopchenaya-260g,389,,ДЫМОВ
